timeStamp,wifi_rssi,audio.recvInfo.avgLoss,audio.recvInfo.jitter,audio.recvInfo.latency,audio.recvInfo.maxLoss,audio.recvInfo.mos,audio.sendInfo.avgLoss,audio.sendInfo.jitter,audio.sendInfo.latency,audio.sendInfo.maxLoss,share.recvInfo.avgLoss,share.recvInfo.fps,share.recvInfo.jitter,share.recvInfo.latency,share.recvInfo.maxLoss,share.recvInfo.mos,share.recvInfo.res,share.sendInfo.avgLoss,share.sendInfo.fps,share.sendInfo.jitter,share.sendInfo.latency,share.sendInfo.maxLoss,share.sendInfo.res,video.recvInfo.avgLoss,video.recvInfo.fps,video.recvInfo.jitter,video.recvInfo.latency,video.recvInfo.maxLoss,video.recvInfo.mos,video.recvInfo.res,video.sendInfo.avgLoss,video.sendInfo.fps,video.sendInfo.jitter,video.sendInfo.latency,video.sendInfo.maxLoss,video.sendInfo.res
2025-05-15 14:13:51,-57,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,230400.0
2025-05-15 14:13:52,-57,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,14.0,,,,230400.0
2025-05-15 14:13:53,-57,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,14.0,,,,230400.0
2025-05-15 14:13:54,-57,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,21.0,,,0.0,,,0.0,24.0,,,0.0,230400.0
2025-05-15 14:13:55,-57,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,20.0,,,0.0,,,0.0,21.0,,,0.0,518400.0
2025-05-15 14:13:56,-57,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,19.0,,,0.0,,,0.0,22.0,,,0.0,705600.0
2025-05-15 14:13:57,-57,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,22.0,,,0.0,,,0.0,24.0,,,0.0,705600.0
2025-05-15 14:13:58,-57,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,22.0,,,0.0,,,0.0,24.0,,,0.0,705600.0
2025-05-15 14:13:59,-57,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,22.0,,,0.0,,,0.0,24.0,,,0.0,705600.0
2025-05-15 14:14:00,-57,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,25.0,,,0.0,,,0.0,26.0,,,0.0,921600.0
2025-05-15 14:14:01,-57,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.0,27.0,,,0.0,,,0.0,30.0,,,0.0,921600.0
2025-05-15 14:14:02,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,0.0,25.0,,,0.0,,,0.0,29.0,,,0.0,921600.0
2025-05-15 14:14:03,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,0.0,25.0,,,0.0,,,0.0,29.0,,,0.0,921600.0
2025-05-15 14:14:04,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,0.0,27.0,,,0.0,,,0.0,29.0,,,0.0,921600.0
2025-05-15 14:14:05,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,0.0,27.0,,,0.0,,,0.0,30.0,,,0.0,921600.0
2025-05-15 14:14:06,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,24.0,,,0.0,,,0.0,,,,0.0,921600.0
2025-05-15 14:14:07,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,24.0,,,0.0,,,0.0,,,,0.0,921600.0
2025-05-15 14:14:08,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,24.0,,,0.0,,,0.0,,,,0.0,921600.0
2025-05-15 14:14:09,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,0.0,5.0,,,0.0,1977600.0,0.0,2.0,,,0.0,,,0.0,11.0,,,0.0,14400.0
2025-05-15 14:14:10,-57,0.0,,,0.0,3.0,0.0,,,0.0,,,,,,,,0.0,0.0,,,0.0,1977600.0,0.0,6.0,,,0.0,,,0.0,7.0,,,0.0,14400.0
